,KS_score,GS76_score,rank_KS,rank_GS76,consensus_rank,emt_group
F1233,0.22048784548784547,-10.817061183203982,2923.0,163.0,1543.0,E
F1234,-0.07850482850482851,-0.7837246669999018,1681.0,1232.0,1456.5,E
F1235,-0.260031635031635,6.626905298861082,502.5,2887.0,1694.75,Hybrid
F1236,0.1277888777888778,1.068573652885668,2294.0,1663.0,1978.5,M
F1237,-0.35123210123210125,9.855888703641455,193.0,3208.0,1700.5,Hybrid
F1238,-0.11825674325674326,1.0931450547266124,1438.5,1671.0,1554.75,E
F1239,-0.46045621045621044,9.367858099644451,35.0,3169.0,1602.0,Hybrid
F1240,-0.10306360306360306,-2.6167662471358284,1558.5,894.0,1226.25,E
F1241,-0.28205128205128205,7.529581983982531,389.5,3007.0,1698.25,Hybrid
F1242,0.1401931401931402,-7.591523788287759,2448.0,340.0,1394.0,E
F1243,0.056027306027306024,-1.437325846833069,1700.0,1095.0,1397.5,E
F1244,-0.27314352314352314,2.5019709859381436,431.0,2021.0,1226.0,E
F1245,0.44871794871794873,-17.025934145660504,3236.0,62.0,1649.0,Hybrid
F1246,0.1503912753912754,-6.035647200975859,2533.0,429.0,1481.0,E
F1247,0.1292873792873793,-1.8421107209423226,2312.0,1028.0,1670.0,Hybrid
F1248,-0.16287878787878787,3.7948174039520666,1079.5,2325.0,1702.25,Hybrid
F1249,0.2825091575091575,-5.106312238886623,3090.5,523.0,1806.75,M
F1250,-0.44542957042957043,6.506110048715513,47.5,2869.0,1458.25,E
F1251,0.5158175158175158,-43.81968918582331,3247.0,10.0,1628.5,Hybrid
F1252,-0.3912753912753913,4.616329961154172,116.0,2501.0,1308.5,E
F1253,0.24175824175824176,-9.086428216011036,2991.5,238.0,1614.75,Hybrid
F1254,-0.18814518814518816,3.547891725778676,907.0,2260.0,1583.5,Hybrid
F1255,-0.17565767565767565,6.171037294496557,989.0,2813.0,1901.0,M
F1256,-0.11463536463536464,1.7801788694865621,1465.0,1845.0,1655.0,Hybrid
F1257,0.09848484848484848,-0.18649259704491072,1915.5,1376.0,1645.75,Hybrid
F1258,-0.16716616716616717,5.562344623368766,1047.5,2699.0,1873.25,M
F1259,0.10726773226773227,-1.3557503634182453,2032.0,1111.0,1571.5,E
F1260,-0.2437978687978688,8.045164596666062,590.5,3063.0,1826.75,M
F1261,0.08807858807858808,1.2086064195460082,1801.0,1706.0,1753.5,M
