node	out_degree	in_degree	total_degree
TRPC1	5	8	13
TRPC3	1	10	11
TRPC6	0	6	6
TRPV1	0	5	5
TRPC5	2	2	4
CALM3	3	0	3
TRPV4	1	1	2
TRPC4	1	1	2
PRKG1	2	0	2
CALM2	2	0	2
CALM1	2	0	2
ASPH	1	0	1
CABP1	1	0	1
ITPR3	1	0	1
ITPR1	1	0	1
HOMER1	1	0	1
GABARAP	1	0	1
EGFR	1	0	1
DRD2	1	0	1
CNR1	1	0	1
