node	out_degree	in_degree	total_degree
TRPC1	6	11	17
TRPC3	1	12	13
TRPV1	0	9	9
TRPC6	0	7	7
CALM3	4	0	4
TRPC5	2	2	4
TRPC4	1	3	4
PKD2	3	0	3
PRKG1	2	0	2
CALM2	2	0	2
CALM1	2	0	2
TRPV4	1	1	2
SRC	2	0	2
ASPH	1	0	1
CAV1	1	0	1
CABP1	1	0	1
DRD2	1	0	1
CDK5	1	0	1
GABARAP	1	0	1
HOMER1	1	0	1
